,n,m,Original_1,TDA_1,Original_2,TDA_2,Original_3,TDA_3,Original_4,TDA_4
0,810,57,40715.84751,29.8013735,113334.4139,38.91866445,200154.8006,33.22812301,291768.8934,34.78610691
1,721,29,25173.52156,47.75286582,69704.09909,46.80362795,130245.7483,42.19046146,196923.7429,32.77367108
2,476,22,13500.48392,37.93760483,40645.15467,32.42437838,72850.32862,36.08855291,108920.1027,43.29404189
3,471,55,26647.62751,19.2860614,74735.57739,18.1038368,117889.5524,30.30522658,160187.017,38.25047392
4,543,48,26609.08347,37.12609647,72122.7442,44.85700259,121344.3511,49.49516903,175063.2738,36.43682
5,470,92,26844.02421,52.70617967,83538.06963,32.35949397,143866.8894,53.80326711,206947.625,54.17534734
6,255,20,8925.910548,21.37129845,21612.74364,30.11657201,35531.35032,34.81032014,49246.62589,32.4954785
7,588,95,37577.02423,31.40667741,112050.5038,30.79611846,200296.9905,39.117579,288202.2425,32.22717707
8,550,92,34138.15009,66.8932162,100415.1255,26.19141902,178958.0353,43.91160653,257383.0748,49.19112428
9,912,29,29825.66758,25.860715,81822.19503,26.99846854,157491.2317,26.5080588,247421.9441,34.32440145
