,Sample,Replication,n,m,Hop,Neigbour Index,Original,TDA
0,1,1,573,66,1,1,5736.6,15.86
1,1,1,573,66,1,2,13506.72,27.8
2,1,1,573,66,1,3,21311.47,4.21
3,1,1,573,66,1,4,1555.14,11.65
4,1,1,573,66,1,5,2107.88,31.97
5,1,1,573,66,1,6,17277.8,25.92
6,1,1,573,66,1,7,10262.03,28.77
7,1,1,573,66,1,8,10293.72,9.63
8,1,1,573,66,2,1,23892.96,7.38
9,1,1,573,66,2,2,23586.77,9.94
10,1,1,573,66,2,3,39685.94,19.25
11,1,1,573,66,2,4,47676.63,14.81
12,1,1,573,66,2,5,61428.97,8.89
13,1,1,573,66,2,6,4488.15,60.27
14,1,1,573,66,2,7,28485.58,15.52
15,1,1,573,66,2,8,6875.75,8.48
16,1,1,573,66,2,9,7065.14,7.93
17,1,1,573,66,2,10,26872.75,12.76
18,1,1,573,66,2,11,3579.85,9.35
19,1,1,573,66,2,12,58996.98,4.61
20,1,1,573,66,2,13,47872.18,6.31
21,1,1,573,66,2,14,38351.54,6.61
22,1,1,573,66,2,15,32914.53,23.4
23,1,1,573,66,2,16,29496.92,5.08
24,1,1,573,66,3,1,43913.83,35.99
25,1,1,573,66,3,2,52366.17,15.89
26,1,1,573,66,3,3,61802.84,105.98
27,1,1,573,66,3,4,68698.74,5.68
28,1,1,573,66,3,5,75835.45,8.22
29,1,1,573,66,3,6,102106.06,5.1
30,1,1,573,66,3,7,125719.63,4.92
31,1,1,573,66,3,8,19226.38,2.6
32,1,1,573,66,3,9,78795.14,11.29
33,1,1,573,66,3,10,6898.56,12.87
34,1,1,573,66,3,11,37652.09,36.37
35,1,1,573,66,3,12,12285.04,19.59
36,1,1,573,66,3,13,13167.08,6.42
37,1,1,573,66,3,14,41612.59,25.22
38,1,1,573,66,3,15,7501.37,7.44
39,1,1,573,66,3,16,77987.0,27.09
40,1,1,573,66,3,17,21797.29,28.43
41,1,1,573,66,3,18,119950.44,24.66
42,1,1,573,66,3,19,105747.88,15.11
43,1,1,573,66,3,20,100463.37,14.61
44,1,1,573,66,3,21,78817.34,18.57
45,1,1,573,66,3,22,58108.65,4.53
46,1,1,573,66,3,23,48166.21,16.44
47,1,1,573,66,3,24,53620.93,5.86
48,1,1,573,66,4,1,68557.12,17.86
49,1,1,573,66,4,2,79315.4,4.79
50,1,1,573,66,4,3,91819.87,26.85
51,1,1,573,66,4,4,95523.01,2.78
52,1,1,573,66,4,5,96801.28,9.13
53,1,1,573,66,4,6,130710.39,3.64
54,1,1,573,66,4,7,149061.64,17.39
55,1,1,573,66,4,8,169317.37,10.3
56,1,1,573,66,4,9,190953.18,17.68
57,1,1,573,66,4,10,45006.47,12.38
58,1,1,573,66,4,11,151868.97,9.98
59,1,1,573,66,4,12,20193.76,3.41
60,1,1,573,66,4,13,95765.71,5.15
61,1,1,573,66,4,14,9903.73,44.07
62,1,1,573,66,4,15,57457.95,22.38
63,1,1,573,66,4,16,19784.0,7.73
64,1,1,573,66,4,17,22334.6,11.02
65,1,1,573,66,4,18,55382.93,21.71
66,1,1,573,66,4,19,14844.41,29.97
67,1,1,573,66,4,20,96015.1,8.18
68,1,1,573,66,4,21,22267.09,64.53
69,1,1,573,66,4,22,142486.42,29.87
70,1,1,573,66,4,23,38415.76,31.09
71,1,1,573,66,4,24,197070.05,15.52
72,1,1,573,66,4,25,170414.23,16.07
73,1,1,573,66,4,26,152703.75,23.31
74,1,1,573,66,4,27,133470.47,9.01
75,1,1,573,66,4,28,109302.34,6.0
76,1,1,573,66,4,29,95949.38,14.29
77,1,1,573,66,4,30,90165.8,7.93
78,1,1,573,66,4,31,83762.26,7.47
79,1,1,573,66,4,32,67418.29,43.62
80,1,2,573,66,1,1,5455.06,5.28
81,1,2,573,66,1,2,8296.18,19.4
82,1,2,573,66,1,3,17560.11,3.09
83,1,2,573,66,1,4,1851.49,6.65
