,n,m,Original_1,TDA_1,Original_2,TDA_2,Original_3,TDA_3,Original_4,TDA_4
0,573,66,10277.871785363255,20.890488829612917,28991.25093262609,9.12095177838738,55864.78933971815,14.859429906744296,93671.44201482226,13.332570440985902
1,573,66,9937.37943994967,6.734514808518684,32494.54328988897,13.925622618382103,59604.543890163244,12.10352307634578,93723.73871339134,11.021956983590606
2,573,66,12552.418581617578,6.2819865217046305,30287.421388199557,12.385813367333261,55278.08006131061,9.366151547990196,89638.22736753797,22.870882761112547
3,573,66,10983.199967415538,11.073897216274709,31892.13368576973,19.997291742683508,56188.676290494506,11.561041476791566,86657.48847197594,11.021579707973896
4,573,66,11270.806286230822,6.985921644100463,30259.426850247553,7.9950614859400035,58900.38196916797,10.970211327977355,93484.36736838629,9.771481709021431
5,625,65,11181.947997416719,16.710407016880716,30833.80145644004,14.48319973234473,59351.927489246504,11.249003302713621,99363.39678232427,11.14408127252027
6,625,65,11754.426970714487,15.835070701540786,36933.256288134435,7.635239148832435,67511.72817471766,10.934223523904048,99102.04479755533,10.352011209615533
7,625,65,12888.235639763485,9.544273445890322,30760.05192959589,12.59388154729769,59983.59872643235,12.166428750403071,100713.79028661284,8.113815624593741
8,625,65,11563.43050056944,6.127101551059619,30264.146529738107,8.444735844064978,56769.321346386074,8.717859017664589,87677.20643973266,11.667984068620651
9,625,65,12298.313665762953,15.411358895256948,35077.79407506471,13.059348047243157,66185.16218618883,12.276219505263603,102880.79915474984,13.92331068946772
10,651,99,11824.498060604054,10.374400416466543,41477.22260183061,13.304078623280718,80210.18251399777,9.892368679385584,121693.52460019925,13.633314787736776
11,651,99,16594.983509984617,10.01267710213471,46234.0077286258,17.098468284002962,85048.37835945305,10.172503238634953,132577.84642975975,11.460192457073745
12,651,99,14419.227907739125,31.231775202713358,40090.05134006612,9.866787415114342,87315.16488178668,14.142101404004325,128120.7986079113,17.633842762699338
13,651,99,10272.387493688911,12.007863616064535,36248.48949624306,13.329364657161795,87019.61007058897,16.047685321874827,125706.47665147146,18.29764464023371
14,651,99,14032.108417859605,15.131945575022701,37137.441810304794,23.048990732501494,85989.67101240964,8.530584171321223,122454.32047117522,14.333878287099273
15,736,98,12571.153423372198,17.355644647404606,46807.12887617673,12.49550928001377,90941.93948295413,13.607132290060592,143566.6016767969,15.432064150683487
16,736,98,15232.92044855661,20.21399249171882,47409.29982824439,10.260340955460585,102187.41564218642,12.404848723019427,138088.2801631897,15.032573136887134
17,736,98,16443.027655621077,13.098888983760187,52769.6421110065,19.46737329004911,94857.42720026278,9.370533949868335,147601.98138800164,12.270170334279783
18,736,98,17292.131444664883,12.084382066807487,46274.15406460984,11.03719323059348,95247.70452327144,12.70504429068484,147944.7842524498,19.70291042805018
19,736,98,13473.067211784775,16.34935321763182,45612.35948380811,11.59080049293642,91066.22095715854,14.266434480617747,139143.88097958604,11.869929737478603
20,511,90,11500.308182599303,17.452053905941042,30101.83678454654,11.48851910743954,63643.109682133916,9.605312680474276,97165.0872746463,12.117945223019206
21,511,90,10556.179271744471,14.241109312635368,31533.81816837906,9.27853147098451,66274.13160024918,9.86304390647653,94801.07230182047,12.659529188531014
22,511,90,11794.190826463317,23.33527432397606,31225.804672396254,13.987680482184846,64866.89827177637,12.364097361647993,90808.98112522255,11.45329853642929
23,511,90,10693.994891688566,14.106822555386707,29497.430348776175,9.680319510342379,60262.0057042996,9.617604257035303,90891.06812788904,12.562423790314408
