,n,m,Original_1,TDA_1,Original_2,TDA_2,Original_3,TDA_3,Original_4,TDA_4
0,208,35,2857.644545,8.475285194,8446.698452,4.579370648,13439.28033,7.656428609,16615.88516,7.180271463
1,208,35,4216.010691,4.984102786,9323.545351,9.176479794,13741.96645,9.827936116,18195.03375,9.545962598
2,208,35,2685.248979,17.55994767,7705.290017,13.03367471,12993.41215,21.30195651,17425.21795,16.32768446
3,208,35,3409.404471,6.464115036,8901.670334,7.133247194,14311.22874,13.97859495,18096.98558,8.808762154
4,208,35,3484.83572,10.37488601,8838.547827,15.01156453,13255.29251,10.68492491,16784.56219,11.65255958
5,391,70,7124.167494,6.988774762,19991.91821,7.082597184,36038.7813,6.553196418,59258.5799,6.805591388
6,391,70,8369.847266,6.407064483,22386.80928,4.567883215,43213.03756,4.26638647,64353.14572,4.784415991
7,391,70,7340.066983,6.081640471,22652.90548,16.03580237,46692.37105,11.62068122,57455.6476,9.631311848
8,391,70,7435.533137,6.414207252,21703.51707,7.225696588,41965.71571,8.07824367,61019.74059,10.65442923
9,391,70,6851.277547,7.568550242,19868.37735,11.59102642,39220.16458,12.86484404,58640.95142,8.273367083
10,271,48,4367.260232,3.826000096,13019.24043,4.335693169,20312.09448,6.122523818,32007.98056,11.37244798
11,271,48,4366.677742,9.964166355,10545.80611,7.468929566,21743.35757,5.030201586,32469.14269,5.448312437
12,271,48,4376.346635,14.77612374,13756.93105,16.60929849,20503.28239,21.31083876,29095.25252,17.02748219
13,271,48,5263.355883,5.789873442,12539.97471,3.989857877,22351.32552,14.60797048,30790.81657,8.822237532
14,271,48,4535.862387,8.563455217,12823.82043,7.94924145,20443.48011,8.805804251,32897.436,8.352519451
15,149,36,2090.811405,14.0792674,4661.882218,12.21304958,7474.165359,12.03430861,10402.9527,15.93749331
16,149,36,1822.162203,8.107437837,5855.741704,12.27087765,7779.409395,11.18446899,11606.90426,11.32197284
17,149,36,2009.197291,6.55564039,5279.291752,11.52463829,8133.330606,14.16841921,10102.64317,13.58356578
18,149,36,2845.368894,6.21975628,5724.654388,6.678067981,8202.321334,9.964801462,10552.32562,10.18566869
19,149,36,1945.443745,16.97623877,5110.353289,19.12125366,7939.328454,26.8476166,9354.633012,14.17610708
