,Sample,Replication,n,p,Hop,Neigbour Index,Original,TDA
0,1,1,32,0.29,1,neighbour_1,171.42,1.94
1,1,1,32,0.29,1,neighbour_2,18.76,10.14
2,1,1,32,0.29,1,neighbour_3,71.39,16.05
3,1,1,32,0.29,1,neighbour_4,91.41,6.32
4,1,1,32,0.29,1,neighbour_5,87.38,6.96
5,1,1,32,0.29,1,neighbour_6,228.56,1.13
6,1,1,32,0.29,1,neighbour_7,19.66,5.79
7,1,1,32,0.29,1,neighbour_8,90.17,5.37
8,1,1,32,0.29,2,neighbour_1,242.25,27.17
9,1,1,32,0.29,2,neighbour_2,82.04,16.77
10,1,1,32,0.29,2,neighbour_3,37.11,15.43
11,1,1,32,0.29,2,neighbour_4,24.23,10.19
12,1,1,32,0.29,2,neighbour_5,117.64,12.97
13,1,1,32,0.29,2,neighbour_6,347.61,7.38
14,1,1,32,0.29,2,neighbour_7,285.36,22.17
15,1,1,32,0.29,2,neighbour_8,230.92,12.38
16,1,1,32,0.29,2,neighbour_9,329.38,12.61
17,1,1,32,0.29,2,neighbour_10,564.21,3.97
18,1,1,32,0.29,2,neighbour_11,661.68,1.94
19,1,1,32,0.29,2,neighbour_12,356.87,2.51
20,1,1,32,0.29,2,neighbour_13,84.63,16.32
21,1,1,32,0.29,2,neighbour_14,39.99,5.49
22,1,1,32,0.29,2,neighbour_15,93.17,4.33
23,1,1,32,0.29,2,neighbour_16,285.32,4.88
24,1,1,32,0.29,3,neighbour_1,615.49,8.79
25,1,1,32,0.29,3,neighbour_2,106.24,9.6
26,1,1,32,0.29,3,neighbour_3,86.69,10.18
27,1,1,32,0.29,3,neighbour_4,56.57,35.53
28,1,1,32,0.29,3,neighbour_5,16.43,1.89
29,1,1,32,0.29,3,neighbour_6,43.41,6.79
30,1,1,32,0.29,3,neighbour_7,447.78,26.43
31,1,1,32,0.29,3,neighbour_8,671.4,4.92
32,1,1,32,0.29,3,neighbour_9,287.85,21.98
33,1,1,32,0.29,3,neighbour_10,451.68,5.25
34,1,1,32,0.29,3,neighbour_11,228.2,25.48
35,1,1,32,0.29,3,neighbour_12,808.42,3.57
36,1,1,32,0.29,3,neighbour_13,874.6,24.35
37,1,1,32,0.29,3,neighbour_14,980.59,7.96
38,1,1,32,0.29,3,neighbour_15,850.69,5.3
39,1,1,32,0.29,3,neighbour_16,917.73,11.29
40,1,1,32,0.29,3,neighbour_17,1041.18,22.93
41,1,1,32,0.29,3,neighbour_18,648.08,2.14
42,1,1,32,0.29,3,neighbour_19,158.32,4.86
